movie_id;title;genres;avg_rating;num_votes;budget;revenue;release_date;original_language;popularity;keywords
tt0031381;Gone with the Wind;Drama,Romance,War;8.2;315675;4000000;402352579;1939-12-15;en;30.056;southern usa,loss of loved one,based on novel or book,marriage proposal,atlanta,plantation,typhus,business woman,marriage crisis,romance,american civil war,technicolor,old south,early america
tt0031679;Mr. Smith Goes to Washington;Comedy,Drama;8.1;116086;1500000;9600000;1939-10-19;en;14.335;washington dc, usa,senate,senator,sightseeing,governor,politician,idealist,dam,camp,conservative,black and white,disillusionment,political corruption,integrity,usa politics,determination,filibuster,walkout,political machine,smear campaign,expulsion attempt
tt0032138;The Wizard of Oz;Adventure,Family,Fantasy;8.1;399394;2777000;33754967;1939-08-15;en;113.698;witch,adolescence,based on novel or book,secret identity,dream,lion,tornado,twister,scarecrow,musical,kansas, usa,imaginary land,cowardliness,monkey,female villain,wizard,sepia color,hourglass,red shoes,based on young adult novel
tt0032455;Fantasia;Animation,Family,Fantasy;7.7;97146;2280000;76411819;1940-11-13;en;63.619;orchestra,musical,classical music,wizard,live action and animation
tt0032551;The Grapes of Wrath;Drama;8.1;93694;800000;1591000;1940-03-15;en;13.22;california,capitalism,based on novel or book,ex-detainee,oklahoma,farm,great depression,road trip,jail
tt0032553;The Great Dictator;Comedy,Drama,War;8.4;224057;2000000;11000000;1940-10-15;en;18.476;dictator,hairdresser,amnesia,fascism,world war ii,jewish ghetto,world war i,nazi,propaganda,national socialism,national socialist party,speech,satire,black and white,barbershop,anti war,fictitious country
tt0032599;His Girl Friday;Comedy,Drama,Romance;7.8;59192;0;0;1940-01-18;en;13.233;suicide,prison,journalist,journalism,based on play or musical,fugitive,wager,screwball comedy,corrupt politician,newspaper editor,insurance agent,fiancé fiancée relationship,press room,political corruption,rolltop desk,reprieve,bride-to-be,ex spouses,imminent execution,convicted murderer
tt0032904;The Philadelphia Story;Comedy,Romance;7.9;69766;0;0;1940-12-05;en;13.158;philadelphia, pennsylvania,photographer,strong woman,swimming pool,remarriage,hangover,reporter,divorcee,socialite,ex-husband ex-wife relationship,high society,fiancé fiancée relationship,divorced couple,family estate,inebriated,imminent wedding,kid sister,love quadrangle
tt0032910;Pinocchio;Adventure,Animation,Comedy;7.5;147697;2600000;84300000;1940-02-23;en;117.603;italy,child abuse,sea,based on novel or book,lie,magic,fairy,carnival,donkey,whale,wish,nose,puppet,rescue,conscience,wish fulfillment,toy comes to life,animal cruelty,child slavery,speculative fiction,pinocchio
tt0032976;Rebecca;Drama,Film-Noir,Mystery;8.1;137740;1288000;6000000;1940-03-23;en;15.241;monte carlo,based on novel or book,age difference,obsession,bride,cornwall, england,love,film noir,rural area,devotion,housekeeper,death,estate,costume party,second wife
tt0033467;Citizen Kane;Drama,Mystery;8.3;441740;839727;23218000;1941-04-17;en;21.928;journalist,newspaper,florida,capitalist,banker,media tycoon,art collector,sleigh,money,black and white,child
tt0033563;Dumbo;Adventure,Animation,Drama;7.2;132805;812000;1600000;1941-10-31;en;78.875;circus,mother,dream,mouse,elephant,nightmare,suffering,clown,ear,musical,crow,affection,storch,big ears
tt0033870;The Maltese Falcon;Crime,Film-Noir,Mystery;8.0;159161;375000;1772000;1941-10-18;en;13.404;san francisco, california,loss of loved one,detective,based on novel or book,film noir,murder,statuette,whodunit,private detective,black bird,private eye
tt0034492;Bambi;Adventure,Animation,Drama;7.3;143873;858000;267447150;1942-02-11;en;107.562;loss of loved one,forest,deer,coming of age,best friend,rabbit,forest fire
tt0034583;Casablanca;Drama,Romance,War;8.5;570107;878000;10462500;1942-11-26;en;23.797;love triangle,corruption,spy,resistance,casablanca,vichy regime,visa,patriotism,nationalism,morocco,world war ii,nazi,film noir,escape,black and white
tt0035423;Kate & Leopold;Comedy,Fantasy,Romance;6.4;85214;48000000;76019048;2001-12-25;en;14.495;new york city,love of one's life,duke,time travel,fish out of water,scientist,marriage for money,marry rich,brooklyn bridge,advertising executive,gentleman,advertising agency,time portal,stage actor,time deadline
tt0036342;Shadow of a Doubt;Film-Noir,Thriller;7.8;66101;0;0;1943-01-15;en;11.832;library,california,detective,bank,small town,telegram,housewife,widow,film noir,murder,fugitive,teenage girl,black and white,murderer,police detective,privacy,visit,gender roles,brother sister ,wealthy widow,precocious child,misogynist,uncle niece relationship,money in the bank,murder suspect,northern california,conflicting worldviews
tt0036613;Arsenic and Old Lace;Comedy,Crime,Thriller;7.9;71373;1120175;0;1944-09-01;en;10.63;poison,cemetery,cellar,halloween,marriage,insanity,murder,serial killer,writer,corpse,critic
tt0036775;Double Indemnity;Crime,Drama,Film-Noir;8.3;157692;927262;2500000;1944-06-14;en;15.412;insurance fraud,femme fatale,film noir,murder,life insurance,insurance agent,insurance policy,murder plot,scheming wife
tt0036868;The Best Years of Our Lives;Drama,Romance,War;8.1;64991;2100000;23650000;1946-12-25;en;14.239;post traumatic stress disorder,war veteran,world war ii,rehabilitation,bodily disabled person,black and white
tt0038355;The Big Sleep;Crime,Film-Noir,Mystery;7.9;86210;1600000;4900000;1946-08-23;en;15.212;poison,gambling,detective,based on novel or book,drug addiction,blackmail,sister,murder,private investigator,whodunit,los angeles, california,private detective,book store,missing person,prank telephone call,wealthy family
tt0038650;It's a Wonderful Life;Drama,Family,Fantasy;8.6;453911;3180000;9644124;1946-12-20;en;41.305;holiday,angel,bank,suicide attempt,small town,great depression,family business ,black and white,nervous breakdown,old house,alternate reality,newlywed,magic realism,told in flashback,guardian angel,high school dance,christmas
tt0038787;Notorious;Drama,Film-Noir,Romance;7.9;101692;1000000;24500000;1946-08-21;en;12.431;poison,love at first sight,marriage proposal,undercover,patriotism,rio de janeiro,wine cellar,fbi,atomic bomb,staircase,nazi,daughter,film noir,espionage,black and white,millionaire,intoxication
tt0040522;Bicycle Thieves;Drama;8.3;163868;133000;436655;1948-11-24;it;16.296;rome, italy,italian,riding a bicycle,society,poster,thief,search,stolen bicycle,madame,unemployment,realism,neo realism,italian neo realism
tt0040746;Rope;Crime,Drama,Mystery;7.9;144338;1500000;2200000;1948-03-11;en;15.118;banquet,footlocker,strangle,rope,murder,based on play or musical,long take,technicolor
tt0040897;The Treasure of the Sierra Madre;Adventure,Drama,Western;8.2;125393;3800000;4307000;1948-01-15;en;14.952;mexico,based on novel or book,gold,gold rush,greed,gold mine,friends,money,american,bandit,prospector,1920s
tt0041959;The Third Man;Film-Noir,Mystery,Thriller;8.1;172134;0;1226098;1949-08-31;en;15.798;austria,cemetery,black market,grave,soviet military,prater,british army,staged death,investigation,cover-up,film noir,foot chase,vienna, austria,sewer,missing person,post world war ii,ferris wheel,penicillin,forged passport
tt0042192;All About Eve;Drama;8.2;131775;1400000;8400000;1950-10-06;en;14.655;playwright,hollywood,black and white,relationship,insecurity,broadway,based on short story,broadway star,stage struck
tt0042332;Cinderella;Animation,Family,Fantasy;7.3;161294;2900000;263591415;1950-02-22;en;162.963;loss of loved one,based on novel or book,mouse,ball,fairy,prince,musical,midnight,princess,love,orphan,family,evil stepmother,fairy godmother,cendrillon
tt0042546;Harvey;Comedy,Drama,Fantasy;7.9;55942;0;0;1950-12-04;en;7.947;sanatorium,imaginary friend,based on play or musical,mental institution,black and white,police officer,rabbit,mental illness,screwball comedy,commitment,heartwarming,brother sister relationship
tt0042876;Rashomon;Crime,Drama,Mystery;8.2;168947;250000;96568;1950-08-26;ja;13.184;japan,rape,samurai,rain,woodcutter,medium,sunlight,court case,dying and death,court,truth,criminal,based on short story,multiple perspectives
tt0043014;Sunset Blvd.;Drama,Film-Noir;8.4;222051;1752000;5000000;1950-08-10;en;14.472;new year's eve,screenwriter,jealousy,butler,loss of sense of reality,diva,delusion,film noir,breaking the fourth wall,hollywood,los angeles, california,black and white,madness,aging actor,has been,silent film star,grandiose  behavior,kept man,movie studio
